Number,word,transliteration,abbreviation
38205,свист,svist,
38214,свитер,sviter,
38216,свиток,svitok,
38220,свобода,svoboda,
38281,связь,svyaz,
38410,север,sever,
38441,седло,sedlo,
38459,сейф,seyf,
38498,секунда,sekunda,
38532,сельдь,seld,
38568,семечко,semechko,
38585,семья,semya,
38597,сено,seno,
38613,сентябрь,sentyabr,
38627,сера,sera,
38656,сердце,serdtse,
38665,серебро,serebro,
38717,серый,seryy,
38718,серьга,serga,
38725,сестра,sestra,
38744,сеть,set,
38801,сидеть,sidet,
38813,сила,sila,
38893,синий,siniy,
38944,сирень,siren,
38948,сироп,sirop,
38973,сито,sito,
39013,скала,skala,
39017,скалка,skalka,
39048,скатерть,skatert,
39107,склад,sklad,
39147,скобка,skobka,
39155,сковорода,skovoroda,
39201,скорлупа,skorlupa,
39221,скорпион,skorpion,
39253,скрепка,skrepka,
39268,скрип,skrip,
39390,сладкий,sladkiy,
39416,след,sled,
39435,слеза,sleza,
39458,слесарь,slesar,
39466,слива,sliva,
39509,слово,slovo,
39533,слой,sloy,
39540,слон,slon,
39594,слышать,slyshat,
39641,смелый,smelyy,
39643,смена,smena,
39673,сметана,smetana,
39680,смех,smeh,
39718,смола,smola,
39734,смородина,smorodina,
39816,снег,sneg,
39883,собака,sobaka,
39941,сова,sova,
40125,сок,sok,
40128,сокол,sokol,
40156,солдат,soldat,
40184,солнце,solntse,
40191,соловей,solovey,
40196,солома,soloma,
40206,соль,sol,
40213,сом,som,
40343,сорока,soroka,
40364,сосед,sosed,
40394,сосна,sosna,
40448,сота,sota,
40471,соус,sous,
40608,спать,spat,
40614,спектакль,spektakl,
40696,спина,spina,
40702,спираль,spiral,
40728,спичка,spichka,
40918,среда,sreda,
41007,стадион,stadion,
41010,стадо,stado,
41018,стакан,stakan,
41128,старый,staryy,
41150,статуя,statuya,
41164,ствол,stvol,
41173,стебель,stebel,
41186,стекло,steklo,
41212,стена,stena,
41232,степь,step,
41306,стих,stih,
41345,стол,stol,
41346,столб,stolb,
41387,стопа,stopa,
41400,сторож,storozh,
41425,стоять,stoyat,
41446,страна,strana,
41477,страус,straus,
41503,стрекоза,strekoza,
41509,стрелка,strelka,
41558,строитель,stroitel,
41609,струна,struna,
